River,Material,SiO2,Al2O3,Fe2O3(T),MgO,Na2O,CaO,K2O,TiO2,MnO,Reference,Sampling Location,Notes,Sampled at,Comment
Amudaria,,46.762912,13.547715,5.575945086949,3.3828826139733,1.37492805217178,11.7251829786162,2.50558033697646,0.567154,0.110775,Savenko et al 2004 in Viers 2009,,,Mouth,"Cannot find this. Apparently it is in Russian? Abstract states ""downstream"""
Don,,51.404976,15.38053,6.87699894057043,2.17234128642403,0.566146845011909,3.88973850603259,2.2887512693535,0.6805848,0.110775,Savenko et al 2004 in Viers 2009,,,Mouth,Cannot find this. Apparently it is in Russian?
Enisey,,48.067824,12.791915,9.2360526312027,2.96831366618245,1.53668429360375,2.5605113187193,1.59007982923506,0.2702322,0.2326275,Savenko et al 2004 in Viers 2009,,,Mouth,Cannot find this. Apparently it is in Russian?
N. Dvina,,54.421248,13.434345,7.39170156398111,2.60349299212651,0.984017135377842,2.09877976944205,2.27670521004111,0.6805848,0.269025,Savenko et al 2004 in Viers 2009,,,Mouth,Cannot find this. Apparently it is in Russian?
Ob,,55.790336,13.79335,8.96440402440262,1.97334819148442,0.768342146801877,1.34321905244291,1.96350766791906,0.6905934,0.55071,Savenko et al 2004 in Viers 2009,,,Mouth,Cannot find this. Apparently it is in Russian?
Ural,,68.219088,9.29634,3.54572918349577,1.75777233863318,1.46928585967376,4.75723414406864,1.8310010154828,0.5204472,0.098115,Savenko et al 2004 in Viers 2009,,,Mouth,Cannot find this. Apparently it is in Russian?
Volga,,54.570992,14.3602,7.60616099040223,2.48741368674507,0.889659327875857,1.93087738788668,2.24056703210395,0.7206192,0.3165,Savenko et al 2004 in Viers 2009,,,Mouth,Cannot find this. Apparently it is in Russian?
Dunga,Active bed,53.5,15.5,11.9,2,2.6,3.5,2.1,2.1,0.2,Schneider et al 2016,Bubandi,<63um,,
Dura,Active bed,52.3,12.3,12.9,1,0.7,3.1,1.1,3.1,0.5,Schneider et al 2016,Kibale,<63um,,
Dura trib @ Kahunge,Active bed,70,13.6,7.3,0.3,0.2,0.3,2.8,1.1,0.1,Schneider et al 2016,Kahunge,<63um,,
Dura trib @ Kibale,Active bed,62.1,12.8,6.6,0.6,1,1.5,2.7,2,0.2,Schneider et al 2016,Kibale,<63um,,
Igasa,Active bed,53.5,15.2,10.8,2,2.3,3.5,1.8,1.8,0.3,Schneider et al 2016,Kateebwa,<63um,,
Isebo ,Active bed,59.3,14.3,9,1.2,1.8,2.2,2.4,1.3,0.1,Schneider et al 2016,Mubuku,<63um,,
Kazinga,Active bed,62.3,10.3,8.3,2.2,1.5,4.8,1.7,2.7,0.1,Schneider et al 2016,Kantunguru,<63um,,
Kazinga (at Bubandi),Active bed,50.7,17,10.1,2.1,1.9,3.4,2.3,1.5,0.2,Schneider et al 2016,Bubandi,<63um,,
Mahoma,Active bed,52,15.2,11.7,2.2,2.4,3.6,1.9,2.1,0.2,Schneider et al 2016,Rubona,<63um,,
Mpanga (north 1),Active bed,45.4,13.6,12.1,1.6,1.5,3.3,1.4,1.6,0.4,Schneider et al 2016,E Fort Portal,<63um,,
Mpanga (south 1),Active bed,69,10.9,7.4,0.4,1.2,1.2,2.1,2,0.3,Schneider et al 2016,Mpanga,<63um,,
Mpanga (south 2),Active bed,62.6,11.5,8.1,0.7,1.6,1.9,1.8,1.8,0.4,Schneider et al 2016,Rwenjaza,<63um,,
Mpanga trib @ Kamwenge,Active bed,71.6,9.8,8.5,0.5,1.1,1.3,2.4,1.2,0.1,Schneider et al 2016,Kamwenge,<63um,,
Mubuku 2,Active bed,52.6,13.4,10.3,4.1,2.5,5.9,1.4,1.2,0.2,Schneider et al 2016,Bugoye,<63um,,
Muzizi,Active bed,57.4,16.9,10.9,0.8,0.4,0.9,1.8,1.7,0.1,Schneider et al 2016,Nyakalengija,<63um,,
Nkusi,Active bed,55.4,15.1,14.9,0.4,0.2,0.4,1.7,1.3,0.2,Schneider et al 2016,Kitoma,<63um,,
Nkusi trib @ Kabwoya,Active bed,72.6,8.1,8.6,0.3,0.1,0.3,0.9,1.2,0.2,Schneider et al 2016,Kbwoya,<63um,,
Nkusi trib @ Kitoma,Active bed,60.5,12.2,13.8,0.3,0.3,0.4,1.4,4.5,0.2,Schneider et al 2016,Kitoma,<63um,,
Nkusi trib @ Kyangamwoyo,Active bed,63,13.9,8.6,0.2,0.1,0.2,1.4,3.5,0.1,Schneider et al 2016,Kyangamwoyo,<63um,,
Nyamagasani,Active bed,53.8,14.6,10.1,4,2.6,5.3,1.6,1.1,0.2,Schneider et al 2016,Kyarumba,<63um,,
Nyamwamba,Active bed,56.8,13.9,8.4,1.7,1.5,2.3,2.1,1,0.2,Schneider et al 2016,Kilembe,<63um,,
Rwimi 1,Active bed,60,12.9,7.6,2.2,2.6,3.5,1.8,1,0.1,Schneider et al 2016,rwimi,<63um,,
Rwimi 2,Active bed,56.6,12.5,11.1,2.5,2.3,4.9,1.6,1.6,0.2,Schneider et al 2016,Rwimi,<63um,,
Wambabya,Active bed,67.7,10.7,8.4,0.5,0.5,0.9,1.5,1.1,0.2,Schneider et al 2016,Kaiso-Tonya,<63um,,
Wambabya trib @ Munteme,Active bed,66.9,8.9,12.3,0.3,0.1,0.4,1.2,1.6,0.2,Schneider et al 2016,Munteme,<63um,,
Garonne (Semhi 1996),Suspended,52.9438065715527,17.118531660781,5.27570188995944,2.2552550759822,0.417870290365933,3.97368969681027,2.91514635359762,0.633853092869486,0.109702669095896,Semhi 1996 in Viers 2009,,,,Average
Mackenzie (incl. Peel & Red),Suspended Load,63.1064,14.7381,5.218405,0.66328,0.29656,5.009136,4.252238,0.717283,0.09495,Wagemann et al. (1977) in Martin & Meybeck 1979,"East Channel McKenzie river delta, lat 68,29' long 135,55'",,Mouth,
Scheldt River ,Suspended matter,53.26608,8.42717,6.53386385829665,1.09446202216783,0.539187471439914,5.72267283801198,1.87918525273235,0.567154,0.1370445,Zwolsman & Van Eck 1999 in Viers 2009,Scheldt Estuary,centrifuged,Mouth,Average of 8 samples
